card_id,name,method,crop,confidence,score,name_score,effect_score,exact_name,video,seconds,ocr_excerpt
013,フィアナ,detailB-exact-title,detailB,1.6747,1.0747,1.0000,0.9500,1,screen-20260901-135152-1788238121077.mp4,23.333,フ ィ ア ナ の タ ー ン 1 枚 目 に プ レ イ し た な ら 、 + 1 / + 0 x3
014,潮風の呼び声,detailB-exact-title,detailB,1.6564,1.0564,1.0000,0.8182,1,screen-20260901-135152-1788238121077.mp4,25.000,潮 風 の 呼 び 声 き 度 + 1 。 ー ー ー カ ー ド を 1 枚 引 く COST x2 2 枚 ド ラ ッ グ で カ ー ド を 傾 け る ・ タ ッ プ で 閉 じ る
015,癒しの薬草,explicit-no,detailA,1.8610,0.8610,0.2500,0.0667,0,screen-20260901-135152-1788238121077.mp4,145.000,No. 15 、 墓 標 の カ ト リ ー ヌ 礇 時 : コ ス ト 3 以 下 の 死 亡 済 み 味 方 ユ ニ ッ ト を 1 体 、 自 身 の 隣 : 埋 ま っ て い れ ば 空 き マ ス ) に 復 活 。 起 動 ( 2 ) : 召 喚 時 効 果 を 発
020,マリエル,exact-title,detailA,1.7115,1.1115,1.0000,0.9231,1,screen-20260901-135152-1788238121077.mp4,36.333,マ リ エ ル き 度 3 : + 1 / + 2 と 守 護 を 得 る
024,アリッサ,exact-title,detailA,1.6687,1.0687,1.0000,0.8000,1,screen-20260901-135152-1788238121077.mp4,44.000,ア リ ッ サ ! 攻 。 召 喚 時 : 相 手 の リ ー ダ ー の HP が 加 以 下 な ら 、 カ ー ド を 1 木 I<O 起 動 ( 2 ) : 相 手 リ ー ダ ー に 1 ダ メ ー ジ 0 x2
027,風詠のラティナ,enhanced-strong-panel,detailA,0.7316,0.6685,0.6667,0.8966,0,screen-20260901-135152-1788238121077.mp4,50.667,No. O ズ 風 冐 の テ ィ ! 撃 。 端 マ ス に 配 置 さ れ た 時 、 狙 撃 を 得 る 。 起 動 ( 1 ) : 隣 の 空 き : 、 へ 移 動 す る
028,新緑のティア,exact-title,detailA,1.6621,1.0621,1.0000,0.7586,1,screen-20260901-134826-1788237986507.mp4,1.333,新 緑 の テ ィ ア 礇 時 ・ 連 携 : 隣 の 味 方 を + 0 / + 1 。 起 動 ( 1 ) : 隣 の 味 方 1 体 の H 可 復 す る 0 xO
030,メイリン,detailB-exact-title,detailB,1.6912,1.0912,1.0000,0.8800,1,screen-20260901-135152-1788238121077.mp4,54.667,◆ 第 メ イ リ ン 礇 時 : 深 度 + 1 。 深 度 2 : 自 分 の タ ー ン 終 了 時 、 カ ー ド を 1 枚 引 、
031,水霊のスイレン,detailB-strong-panel,detailB,0.8890,0.8181,0.9231,0.9130,0,screen-20260901-135152-1788238121077.mp4,56.667,水 の ス イ レ ン 鴫 : 隣 に 味 方 が 置 か れ る た び リ ー ダ ー の HP を 1 回 復 0 COST を ATK ④ H P xl 1 枚 ド ラ ッ グ で カ ー ド を 傾 け る ・ タ ッ プ で 閉 じ る
035,枝剣のヴィーラ,detailB-strong-panel,detailB,0.8585,0.7707,0.8333,0.9333,0,screen-20260901-135152-1788238121077.mp4,65.000,剣 の ヴ ィ ラ ! 護 。 起 動 ( 2 ) : 自 身 の HP を 2 回 復 す る ◆ を す
036,メアリー,detailB-strong-panel,detailB,0.8648,0.7964,0.8571,0.8261,0,screen-20260901-135152-1788238121077.mp4,66.667,っ 4 レ ′ メ ア リ ! 密 。 孤 立 : 飾 K + 2 を 得 る 。 起 動 ( 2 ) : 自 身 を + 1 / + 1 す る 0 ④
038,アルテミス,detailC-exact-title,detailC,1.6647,1.0647,1.0000,0.8947,1,screen-20260901-135152-1788238121077.mp4,70.333,ア ル テ ミ ス + 2 / + 2 を 得 る 。 起 動 ( 2 ) : 自 身 を + 1 / + 1 す る H P ATK IST ド ラ ッ グ で カ ー ド を 傾 け る ・ タ ッ プ で 閉 じ る
040,夜刻のエルゼリア,detailB-strong-panel,detailB,0.7395,0.7087,0.7143,0.9412,0,screen-20260901-135152-1788238121077~2.mp4,74.667,夜 刻 、 ル セ リ ア ! 撃 。 起 動 ( 3 ) : こ の タ ー ン 、 自 身 は 貫 通 を 得 る 0 を す x3
041,栄光のアウレナ,strong-panel,detailA,0.8873,0.8123,0.9231,0.8750,0,screen-20260901-135152-1788238121077.mp4,76.000,No. 0 生 ' ~ 宀 光 の ア ウ レ ナ 馥 時 : 自 身 の ATK + 1 。 攻 撃 時 : 自 身 の HP を 1 回 復 す る 。 起 動 . ) : 自 身 の HP を 1 回 復 す る
042,飛沫のリュネ,enhanced-strong-panel,detailA,0.5917,0.5440,0.4000,0.9000,0,screen-20260901-135152-1788238121077.mp4,78.333,飛 ラ の 一 礇 時 : 敵 ユ ニ ッ ト 1 体 に 深 度 の 数 だ け ダ メ ー ジ x2
044,カレン,strong-panel,detailA,0.7843,0.7507,0.8000,0.8947,0,screen-20260901-135152-1788238121077.mp4,82.333,易 レ ン 政 ・ 貫 通 。 起 動 ( 2 ) : こ の タ ー ン 、 自 身 の ATK + 2 0 の す x2
046,陽炎のレオナ,detailB-exact-title,detailB,1.6420,1.0420,1.0000,0.8000,1,screen-20260901-135152-1788238121077.mp4,86.000,陽 炎 の レ オ ナ 映 マ ス : 飾 K + 2 を 得 る 。 起 動 ( 1 ) : 自 身 の HP を 1 回 復 す る 0 を す x3
048,紅蓮の一撃,strong-panel,detailA,0.7657,0.7184,0.8000,0.9268,0,screen-20260901-135152-1788238121077.mp4,89.000,"0 紅 蓮 の - 撃 , ン ダ ム な 敵 ユ ニ ッ ト 1 体 に 3 ダ メ ー ジ 。 こ の タ ー ン 味 方 が 攻 撃 し い た ら 、 さ ら に 敵 リ ー ダ ー に 3 ダ メ ー ジ xl"
049,黄昏のエリシア,strong-panel,detailA,0.9712,0.8790,0.9231,0.9167,0,screen-20260901-134826-1788237986507.mp4,3.333,黄 昏 の エ リ シ 亡 時 : 自 身 の コ ピ ー を 手 札 に 加 え る 。 起 動 ( 1 ) : 自 身 を 破 壊 す
050,涙氷の代償,enhanced-strong-panel,detailA,0.8742,0.7634,0.8000,0.9474,0,screen-20260901-124211-1788234059908.mp4,3.000,ー 涙 火 の 代 償 方 ユ ニ ッ ト 1 体 を 破 壊 し 、 カ ー ド を 2 枚 引 く x2
051,幻影の交錯,strong-panel,detailA,0.9110,0.8178,0.8889,0.9444,0,screen-20260901-124211-1788234059908.mp4,5.000,"幻 影 の 交 、 , 日 方 ユ ニ ッ ト 1 体 の コ ピ ー を 手 札 に 加 え る x2"
052,イリス,detailB-exact-title,detailB,1.7633,1.1633,1.0000,0.9302,1,screen-20260901-135152-1788238121077.mp4,96.000,イ リ ス 礇 時 : ダ メ ー ジ を 受 け た 味 方 ユ ニ ッ ト 1 体 の HP を 2 回 復 。 タ ー : 了 時 : 召 喚 時 効 果 を 発 動 す る 。 起 動 ( 1 ) : 召 喚 時 効 果 を 発 動 す ; 0 を ④ x3
053,ダラン,enhanced-strong-panel,detailA,0.7714,0.7078,0.8000,0.7714,0,screen-20260901-134826-1788237986507.mp4,5.667,、 し 、 つ ゞ ま ご に 喚 時 : カ ー ド を 1 枚 引 く 。 死 亡 時 : ラ ン ダ ム な 敵 ユ = ト か ー ダ ー に 2 ダ メ ー シ 0 す
054,蒼海の静寂,exact-title,detailA,1.6829,1.0829,1.0000,0.9286,1,screen-20260901-135152-1788238121077.mp4,97.000,蒼 海 の 静 寂 き 度 + 3 。 リ ー ダ ー の HP を 2 回 復 x2
055,波紋の癒し,strong-panel,detailA,0.8949,0.8058,0.8889,0.8947,0,screen-20260901-135152-1788238121077.mp4,99.000,波 紋 の 癒 レ - ー ダ ー の HP を 3 回 復 し 、 一 ・ 一 カ ー ド を 1 枚 引 く xl
056,清流の導き,strong-panel,detailA,0.8734,0.7693,0.8889,0.9091,0,screen-20260901-135152-1788238121077.mp4,100.667,冫 月 流 の 導 き き 度 + 1 。 カ ー ド を 2 枚 引 く xl
057,蒼月の呪縛,strong-panel,detailA,0.8276,0.7644,0.8889,0.8889,0,screen-20260901-135152-1788238121077.mp4,102.333,月 の 呪 縛 ュ ニ ッ ト 1 体 を 1 タ ー ン 攻 撃 不 能 に す る
058,暗譜の詠唱,exact-title,detailA,1.6396,1.0396,1.0000,0.9149,1,screen-20260901-135152-1788238121077.mp4,104.000,No. 0 暗 譜 の 詠 唱 方 ユ ニ ッ ト 1 体 を 破 壊 し 、 ラ ン ダ ム な 敵 ユ ニ ッ ト か 敵 リ ー ダ ー ユ ダ メ ー ジ を 与 え る を X 回 行 う 。 X は 破 壊 し た ユ ニ ッ ト の HP
059,幸福の祈り,enhanced-exact-title,detailA,1.6696,1.0496,1.0000,0.9565,1,screen-20260901-135152-1788238121077.mp4,106.333,幸 福 の 祈 り て の 味 方 ユ ニ ッ ト の HP を 全 回 復 し 、 リ ー ダ ー の HP を 3 回 復 xl
060,澄光の再生,strong-panel,detailA,0.5670,0.5294,0.5000,0.9143,0,screen-20260901-135152-1788238121077.mp4,107.667,再 生 xl ー ス ト 5 以 下 の 死 亡 済 み 味 方 ユ ニ ッ ト の 中 で コ ス ト が 最 も 高 い 1 、 空 き マ ス に 復 活
061,イシス,detailC-exact-title,detailC,1.5200,0.9200,1.0000,0.1667,1,screen-20260901-135152-1788238121077.mp4,109.333,イ シ ス = 波 紋 0 癒 00 、 枚 手 札 、 = 00 = 0 。 共 鳴 = 隣 、 = 置 / 0 。 起 動 ( 、 ). 隣 0 味 方 、 体 00 / 0 す 0 ATK グ で カ ー ド を 傾 け る ・ タ プ で 閉 じ る
062,ナターシャ,enhanced-strong-panel,detailA,0.7538,0.6977,0.7273,0.9032,0,screen-20260901-135152-1788238121077.mp4,111.000,ナ タ -- シ ャ ! 撃 。 召 喚 時 ・ 連 携 : 隣 の 味 方 を + 1 / + 1 。 死 亡 時 : 自 身 の コ ピ ー 、 手 札 に 加 え る xl
063,ルナ,detailC-exact-title,detailC,1.7072,1.1072,1.0000,0.8909,1,screen-20260901-135152-1788238121077.mp4,113.333,ル ナ ー フ ィ を ラ ン ダ ム な 空 き マ ス に 1 体 召 喚 す る 。 さ れ る た び 、 カ ー ド を 1 枚 引 く 。 死 亡 時 : 召 喚 時 と 同 ・ 動 す る 。 起 動 ( 1 ) : 召 喚 時 と 同 じ 効 果 を 発 動 す る ATK H P を ④ ド ラ ッ グ で カ ー ド を 傾 け る ・ 
065,ミズキ,exact-title,detailA,1.7219,1.1219,1.0000,0.9524,1,screen-20260901-134826-1788237986507.mp4,9.333,ミ ズ キ 喚 時 : 味 方 リ ー ダ ー の HP を 4 回 復 。 起 動 ( 2 ) : 味 方 リ ー ダ ー の を 4 回 復 す る 0 年 す
067,マリィ,enhanced-exact-title,detailA,1.6152,0.9952,1.0000,0.4800,1,screen-20260901-135152-1788238121077.mp4,116.000,マ リ ィ 。 時 = 深 度 、 、 。 深 度 が 上 が 0 た び 、 カ ー ← を 、 枚 引 く 。 起 動 X2
068,セレスティア,exact-title,detailA,1.6578,1.0578,1.0000,0.9074,1,screen-20260901-134826-1788237986507.mp4,12.667,-- セ レ ス テ ィ ( ア ー 喚 時 : デ ッ キ か ら ラ ン ダ ム な ア ー ツ 1 枚 を 手 札 に 加 え る 。 死 亡 : コ ス ト 2 以 下 の 死 亡 済 み 味 方 ユ ニ ッ ト を 1 体 、 自 身 の マ ス に ' 0 xO
069,クレア,exact-title,detailA,1.4200,0.8200,1.0000,0.0000,1,screen-20260901-134826-1788237986507.mp4,36.333,灼 の ク レ ア
070,イリア,exact-title,detailA,1.4883,0.8883,1.0000,0.0345,1,screen-20260901-135152-1788238121077.mp4,63.000,NO. 0 : の イ リ ア 攵 。 起 動 ( 1 ) : 自 身 を + 1 / + 0
071,アルラウネ,strong-panel,detailA,0.7641,0.7011,0.8889,0.5000,0,screen-20260901-134826-1788237986507.mp4,16.000,ア ル ラ ネ 護 。 死 亡 時 = 味 方 = = ト 全 体 0 を 0 回 復 。 起 動 ( 効 = 死 、 果 を 発 動 す る xO
074,烈火のブレア,enhanced-strong-panel,detailA,0.7176,0.6643,0.9091,0.4194,0,screen-20260901-135152-1788238121077.mp4,120.667,ト 気 、 烈 火 の 、 レ ア 喚 時 = 正 面 0 敵 = = ← 0 = 0 ダ = ー ジ 。 敵 = = ' ← が い 00 リ ー ダ に 3 ダ メ ー ジ x2
077,火山脈のスカルナ,strong-panel,detailA,0.7789,0.7214,0.7500,0.8182,0,screen-20260901-135152-1788238121077.mp4,122.333,火 山 脈 の ス 労 元 ナ 。 召 喚 時 : 全 ユ ニ ッ ト に 1 ダ メ ー ジ 。 被 ダ メ ー シ 時 : + 2 / + 2 。 助 ( 1 ) : 召 喚 時 効 果 を 発 動 す る ◆ ④ x2
078,聖炎の裁き,strong-panel,detailA,0.7729,0.7265,0.7500,0.9231,0,screen-20260901-135152-1788238121077.mp4,124.000,"NO. 0 ・ 耳 ロ 火 三 の 裁 き , ダ ム な 敵 ユ ニ ッ ト か 敵 リ ー ダ ー に 4 ダ メ ー ジ を 2 回 行 う"
079,虹水の送還,strong-panel,detailA,0.6293,0.5922,0.5000,0.9259,0,screen-20260901-135152-1788238121077.mp4,125.667,7 の 送 辷 ! 度 + 2 。 全 て の 敵 ユ ニ ッ ト に 1 タ メ ー ジ 。 深 度 6 : さ ら に 敵 ユ ニ 全 て に 2 ダ メ ー ジ x2
081,魔宵の鼓舞,exact-title,detailA,1.6431,1.0431,1.0000,0.8462,1,screen-20260901-135152-1788238121077.mp4,127.667,魔 宵 の 鼓 舞 き 択 : 味 方 ユ ニ ッ ト 1 体 と そ の 両 隣 の K + 20r テ ッ キ か ら 「 魔 ) 鼓 舞 」 以 外 の ラ ン ダ ム な ア ー ツ 2 枚 を 手 札 に 加 え る xl
083,フォルン,exact-title,detailA,1.4200,0.8200,1.0000,0.0000,1,screen-20260901-135152-1788238121077.mp4,131.667,フ ォ ル ン
084,ベアトリクス,strong-panel,detailA,0.8161,0.7819,0.9091,0.8261,0,screen-20260901-135152-1788238121077.mp4,133.000,NO. 0 べ ア ト リ ク ス 時 : ラ ン タ ム な 敵 ユ ニ ッ ト に 2 ダ メ ー ジ を 3 回 行 う
085,エレナ,exact-title,detailA,1.6786,1.0786,1.0000,0.9524,1,screen-20260901-135152-1788238121077.mp4,135.000,", 。 エ レ ナ : 屈 。 共 鳴 : 隣 に 味 方 が 置 か れ る た び + 2 / + 2 を 得 る 0 の す x2"
086,クレシア,enhanced-strong-panel,detailA,0.8969,0.8086,0.8571,0.9048,0,screen-20260901-134826-1788237986507.mp4,26.333,ら レ シ ア 礇 時 ・ 連 携 : 隣 の 味 方 を + 2 / + 2 し 、 鉄 壁 を 付 与 す る xO
087,メリア,exact-title,detailA,1.6497,1.0497,1.0000,0.8462,1,screen-20260901-134826-1788237986507.mp4,27.333,/ み た 玉 、 イ メ リ ア 礇 時 : 敵 リ ー ダ ー に 4 ダ メ ー ジ 0 xO
088,ユーフィア,strong-panel,detailA,0.8752,0.8168,0.8889,0.8571,0,screen-20260901-134826-1788237986507.mp4,29.667,工 ー フ ィ 、 ア 礇 時 : 深 度 + 2 。 カ ー ド を 1 枚 引 く 0 の す
090,ライラ,exact-title,detailA,1.6531,1.0531,1.0000,0.8462,1,screen-20260901-134826-1788237986507.mp4,33.333,撃 。 召 喚 時 ・ 連 携 : 0 ラ イ ラ リ ー ダ ー の HP を 3 回 復 し 、 カ ー ド を 1 枚 弓 xO
091,オリヴィエ,detailB-exact-title,detailB,1.6686,1.0686,1.0000,0.9524,1,screen-20260901-135152-1788238121077.mp4,137.333,オ リ ヴ ィ エ ! 撃 。 召 喚 時 : ラ ン ダ ム な 敵 ユ ニ ッ ト 1 体 を 破 壊 す る COST を ATK す H P xl 1 枚 ド ラ ッ グ で カ ー ド を 傾 け る ・ タ ッ プ で 閉 じ る
097,鴉巣のエヴェリナ,exact-title,detailA,1.6443,1.0443,1.0000,0.8511,1,screen-20260901-135152-1788238121077.mp4,143.333,鴉 巣 の エ ヴ ェ リ ナ 礇 時 : カ ー ド を 1 枚 引 く 。 死 亡 時 : ラ ン ダ ム な 敵 ユ ニ ッ ト 1 体 ダ メ ー ジ 。 敵 ユ ニ ッ ト が い な け れ は 敵 リ ー ダ ー に 与 え る 0 第 す x2
101,火紋の刻印,strong-panel,detailA,0.8576,0.7568,0.8889,0.8571,0,screen-20260901-134826-1788237986507.mp4,43.667,冖 紋 の 刻 印 、 : 択 : 全 て の 敵 ユ ニ ッ ト の ATK -40r 全 て の 敵 ユ ニ ッ ト の HP -4 xO
103,セレシア,exact-title,detailA,1.7040,1.1040,1.0000,0.8500,1,screen-20260901-134826-1788237986507.mp4,45.333,0 セ レ シ ア 礇 時 : デ ッ キ か ら ラ ン タ ム な 守 護 を 持 つ ユ ニ ッ ト を 2 枚 手 札 に 反 る 。 共 鳴 : 隣 に 味 方 が 置 か れ る た び リ ー ダ ー の HP を 1 回 復 、 味 方 ユ ニ ッ ト 全 て の HP を 1 回 復 0 の す xO
105,ダリア,detailB-exact-title,detailB,1.6587,1.0587,1.0000,0.8696,1,screen-20260901-135152-1788238121077.mp4,148.333,ダ リ ア 撃 破 時 : リ ー ダ ー の HP を 3 回 復 し 、 自 身 の HP を 3 撃 ・ 執 念 。 す る
106,シルヴィア,detailB-strong-panel,detailB,0.7532,0.6954,0.7500,0.9600,0,screen-20260901-134826-1788237986507.mp4,49.333,→ し ヴ ィ ア ! 護 。 召 喚 時 : 隣 接 し て い る 味 方 1 体 に つ き カ ー ド を 1 枚 引 く 0 COST 3 ATK H P XO 0 枚 ド ラ ッ グ で カ ー ド を 傾 け る ・ タ ッ プ で 閉 じ る
107,リリーナ,strong-panel,detailA,0.7218,0.6783,0.6667,0.9375,0,screen-20260901-135152-1788238121077.mp4,150.333,リ リ ト チ [ 撃 ・ 貫 通 ・ 突 撃 。 攻 撃 時 、 自 身 に + 1 / + 2 0 す xl
108,メラニア,exact-title,detailA,1.6831,1.0831,1.0000,0.9574,1,screen-20260901-134826-1788237986507.mp4,51.000,← イ ・ 。 、 メ ラ ニ ア 礇 時 : ATK4 以 上 の 敵 ユ ニ ッ ト 1 体 を 破 壊 し 、 そ の ATK の 半 分 : 切 り 上 げ ) の ダ メ ー ジ を 相 手 の リ ー ダ ー に 与 え る 0 す xO
109,ソフィア,exact-title,detailA,1.7109,1.1109,1.0000,0.8788,1,screen-20260901-135152-1788238121077.mp4,151.667,ソ フ ィ ア 礇 時 : 守 護 を 持 つ 味 方 ユ ニ ッ ト 全 て を + 1 / + 1 。 起 動 ( 1 ) : 召 喚 保 を 再 度 発 動 す る xl
110,アリア,exact-title,detailA,1.7342,1.1342,1.0000,0.8649,1,screen-20260901-135152-1788238121077.mp4,153.333,ア リ ア 礇 時 : 深 度 を 全 て 消 費 し 、 そ の 数 だ け ラ ン ダ ム な 敵 ユ ニ ッ ト カ 【 リ ー ダ ー に 2 ダ メ ー ジ の 0 ④ xl
111,黄金のソレリス,strong-panel,detailA,0.8300,0.7958,0.8333,0.9545,0,screen-20260901-135152-1788238121077.mp4,155.667,金 の ソ レ リ : 通 ・ 突 撃 。 召 喚 時 : ラ ン ダ ム な 敵 ユ ニ ッ ト に 3 ダ メ ー ジ 0 x2
112,漆黒の終焉,strong-panel,detailA,0.8721,0.7693,0.8889,0.9091,0,screen-20260901-135152-1788238121077.mp4,157.000,黒 の 終 焉 : て の ユ ニ ッ ト を 破 壊 す る
113,常闇のミレイナ,enhanced-exact-title,detailA,1.6389,1.0189,1.0000,0.8286,1,screen-20260901-135152-1788238121077.mp4,160.000,常 簡 の ミ レ イ ナ 時 : こ の マ ス に 常 闇 の ミ レ イ ナ を 召 喚 し 、 自 分 の リ ー ダ ー ー メ ー ジ を 与 え る x2
114,花弓のイーシャ,enhanced-strong-panel,detailA,0.7939,0.7419,0.7692,0.9167,0,screen-20260901-124211-1788234059908.mp4,60.000,` 花 弓 の 一 シ ャ 撃 ・ 2 回 攻 撃 ・ 突 撃 。 起 動 ( 3 ) : こ の タ ー ン 、 自 身 を + 2 / + 2 す そ 0 xl
116,マリン,strong-panel,detailA,0.5844,0.5558,0.5000,0.7188,0,screen-20260901-135152-1788238121077.mp4,163.667,マ 去 ノ 礇 時 : 深 度 + 1 。 リ ー ダ ー の HP を 6 回 復 し 、 全 て の 敵 ユ ニ ッ b'. 0 ふ す xl
119,輝光の加護,exact-title,detailA,1.7034,1.1034,1.0000,0.9310,1,screen-20260901-134826-1788237986507.mp4,61.000,輝 光 の 加 護 の タ ー ン 、 味 方 の 守 護 ユ ニ ッ ト 全 て の ATK を HP と 同 じ 値 に す xO
121,断罪のリゼット,exact-title,detailA,1.6457,1.0457,1.0000,0.8571,1,screen-20260901-134826-1788237986507.mp4,63.000,断 罪 の リ ゼ ッ ト 政 。 召 喚 時 : 敵 ユ ニ ッ ト 1 体 を 消 滅 さ せ る ( 死 亡 時 効 果 は 発 動 ・ な い ) 金 3 xO
122,セイレーン,enhanced-strong-panel,detailA,0.9554,0.8513,0.8889,0.8065,0,screen-20260901-135152-1788238121077.mp4,169.000,奐 時 : 全 て の 敵 ユ ニ ッ ト の ATK-20 深 度 5 以 上 な ら さ ら に ATK_ 十 -4 ) 0 ① セ イ レ ー xl
123,焦熱のファリナ,enhanced-exact-title,detailA,1.6733,1.0533,1.0000,0.8889,1,screen-20260901-135152-1788238121077.mp4,170.333,言 尸 焦 熱 の フ ァ リ ナ 。 召 喚 時 : 全 て の 敵 ユ ニ ッ ト に 2 ダ メ ー ジ ◆ す xl
124,ナナリー,exact-title,detailA,1.6887,1.0887,1.0000,0.9250,1,screen-20260901-135152-1788238121077.mp4,171.667,・ ・ ナ ナ リ ー ! 撃 。 召 喚 時 : カ ー ド を 1 枚 引 く 。 こ の カ ー ド の コ ス ト を 味 方 フ ー ル ド の 守 護 ユ ニ ッ ト の 数 だ け 減 ら す 0 第 ④ x2
125,竜姫のレイナ,strong-panel,detailA,0.8692,0.8036,0.9091,0.9167,0,screen-20260901-134826-1788237986507.mp4,65.000,竜 姫 レ イ ナ 礇 時 ' : 全 て の 敵 ユ ニ ッ ト に 3 ダ メ ー ジ 、 敵 リ ー ダ ー に 4 ダ メ ー 0 xO
126,ロザリア,enhanced-exact-title,detailA,1.7250,1.1050,1.0000,0.9375,1,screen-20260901-134826-1788237986507.mp4,55.000,ロ ザ リ ア ー 喚 時 : デ ッ キ か ら 元 の コ ス ト が 一 番 高 い ア ー ツ の 中 か ら ラ ン タ 、 に 1 枚 を 手 札 に 加 え る 。 起 動 ( 1 ) : 召 喚 時 効 果 を 発 動 す る 0 xO
127,花園の祝祭,detailB-exact-title,detailB,1.6880,1.0880,1.0000,0.8667,1,screen-20260901-134826-1788237986507.mp4,68.667,花 園 の 祝 祭 方 ユ ニ ッ ト 1 体 を + 1 / + 1 す る 。 ー さ ら に チ ェ イ ン 数 の 分 だ け 繰 り XO COST 0 枚 ド ラ ッ グ で カ ー ド を 傾 け る ・ タ ッ プ で 閉 じ る
128,傀儡の選択,exact-title,detailA,1.6514,1.0514,1.0000,0.7143,1,screen-20260901-134826-1788237986507.mp4,70.000,傀 儡 の 選 択 ・ 択 : 全 て の 敵 ユ ニ ッ ト に 1 ダ メ ー ジ 0 = ラ ン タ ム な 敵 ユ ニ ッ ト を 破 壊 xO
133,紫電の拡散,enhanced-exact-title,detailA,1.6608,1.0408,1.0000,0.9200,1,screen-20260901-135152-1788238121077.mp4,177.333,紫 電 の 拡 散 【 ユ ニ ッ ト 1 体 に 3 ダ メ ー ジ 、 そ の 両 隣 に 2 ダ メ ー ジ 。 敵 リ ー ダ ー .2 ダ メ ー ジ xl
134,叡智の啓示,detailB-strong-panel,detailB,0.8632,0.7797,0.8889,0.9524,0,screen-20260901-134826-1788237986507.mp4,76.667,叡 智 の 啓 ハ ー ド を 2 枚 引 く 。 全 て の 敵 ユ ニ ッ ト に 2 ダ メ ー COST シ XO 0 枚 ド ラ ッ グ で カ ー ド を 傾 け る ・ タ ッ プ で 閉 じ る
136,氷河の封印,strong-panel,detailA,0.8336,0.7588,0.7500,0.9744,0,screen-20260901-134826-1788237986507.mp4,78.333,ラ 冫 。 の 封 印 【 ユ ニ ッ ト 1 体 に 4 ダ メ ー ジ 。 深 度 4 以 上 な ら 代 わ り に 消 滅 さ せ る : 死 亡 時 効 果 は 発 動 し な い ) xO
138,リアナ,enhanced-exact-title,detailA,1.4480,0.8280,1.0000,0.0333,1,screen-20260901-134826-1788237986507.mp4,82.667,リ ア ナ ・ 隣 00 方 0 、 、 / 、 鉄 壁 ・ 得 。 起 0 ( 、 ) 隣 0 = = = XO
